,stat_field,unique_value,count
0,surface_age,,85
1,surface_age,Albian,37
2,surface_age,Albian - Cenomanian,23
3,surface_age,Anisian - Carnian,17
4,surface_age,Aptian - Albian,2
5,surface_age,Aptian - Cenomanian,180
6,surface_age,Archean,12
7,surface_age,Artinskian - Guadalupian,4
8,surface_age,Artinskian - Kungurian,4
9,surface_age,Asselian - Artinskian,3
10,surface_age,Bajocian - Late Jurassic,1
11,surface_age,Bajocian - Oxfordian,5
12,surface_age,Burdigalian - Gelasian,58
13,surface_age,Burdigalian - Langhian,1
14,surface_age,Burdigalian - Tortonian,2
15,surface_age,Calabrian - Holocene,406
16,surface_age,Calabrian - Middle Pleistocene,383
17,surface_age,Cambrian,21
18,surface_age,Cambrian - Ordovician,1
19,surface_age,Cambrian - Silurian,1
20,surface_age,Campanian,2642
21,surface_age,Campanian - Maastrichtian,1070
22,surface_age,Campanian - Ypresian,2
23,surface_age,Carnian,1
24,surface_age,Carnian - Norian,105
25,surface_age,Cenomanian,81
26,surface_age,Cenomanian - Campanian,87
27,surface_age,Cenomanian - Coniacian,5
28,surface_age,Cenomanian - Santonian,20
29,surface_age,Cenomanian - Turonian,44
30,surface_age,Chattian - Late Miocene,116
31,surface_age,Chattian - Middle Miocene,14
32,surface_age,Chattian - Miocene,206
33,surface_age,Chattian - Pliocene,2
34,surface_age,Cisuralian,3
35,surface_age,Cisuralian - Guadalupian,1
36,surface_age,Coniacian,47
37,surface_age,Coniacian - Campanian,70
38,surface_age,Coniacian - Santonian,325
39,surface_age,Cretaceous,706
40,surface_age,"Cretaceous, Cenomanian to Albian",6
41,surface_age,"Cretaceous, Cenomanian to Aptian",1
42,surface_age,Cretaceous-Jurassic,21
43,surface_age,Danian,690
44,surface_age,Danian - Rupelian,22
45,surface_age,Danian - Selandian,1944
46,surface_age,Devonian,3
47,surface_age,Devonian - Mississippian,1
48,surface_age,Early Cambrian - Serpukhovian,1
49,surface_age,Early Cretaceous,263
50,surface_age,Early Cretaceous - Late Cretaceous,776
51,surface_age,Early Eocene,62
52,surface_age,Early Eocene - Late Eocene,3
53,surface_age,Early Jurassic,79
54,surface_age,Early Miocene,2
55,surface_age,Early Mississippian - Middle Pennsylvanian,2
56,surface_age,Early Ordovician,2
57,surface_age,Early Ordovician - Middle Ordovician,1
58,surface_age,Early Paleozoic,1
59,surface_age,Early Proterozoic,19
60,surface_age,Early Triassic,14
61,surface_age,Early Triassic - Jurassic,2
62,surface_age,Early Triassic - Late Jurassic,3
63,surface_age,Early Triassic - Late Triassic,56
64,surface_age,Eocene,6535
65,surface_age,Eocene - Miocene,6
66,surface_age,Eocene - Oligocene,8
67,surface_age,Eocene and Paleocene,93
68,surface_age,Eocene and Paleocene?,589
69,surface_age,"Eocene and Paleocene?, Wasatchian and Clarkforkian",4
70,surface_age,Eocene and upper Paleocene,77
71,surface_age,"Eocene, Bridgerian",36
72,surface_age,"Eocene, Bridgerian and Wasatchian",2
73,surface_age,"Eocene, Uintan",120
74,surface_age,"Eocene, Uintan and Bridgerian",69
75,surface_age,"Eocene, middle to upper",13
76,surface_age,Eocene/Oligocene,1
77,surface_age,Famennian - Tournaisian,1
78,surface_age,Gelasian,1
79,surface_age,Gelasian - Holocene,60
80,surface_age,Gelasian - Middle Pleistocene,2
81,surface_age,Guadalupian,1
82,surface_age,Gzhelian - Asselian,1
83,surface_age,Hauterivian - Albian,20
84,surface_age,Hauterivian - Barremian,1
85,surface_age,Historical,4
86,surface_age,Historical to middle[?] Pleistocene,1
87,surface_age,Holcene to late Pleistocene,3
88,surface_age,Holocene,1614
89,surface_age,Holocene and Late Pleistocene,6
90,surface_age,Holocene and Pleistocene,589
91,surface_age,Holocene and Pleistocene(?),60
92,surface_age,Holocene and Pleistocene?,13
93,surface_age,Holocene and Pleistocne,3
94,surface_age,Holocene and Pliestocene?,2
95,surface_age,Holocene and Upper Pleistocene,1
96,surface_age,Holocene and late Pleistocene,4
97,surface_age,Holocene and latest Pleistocene,1
98,surface_age,Holocene and upper? Pleistocene,89
99,surface_age,Holocene and/or Pleistocene,19
100,surface_age,Holocene to Miocene?,5
101,surface_age,Holocene to Pleistocene,1
102,surface_age,Holocene to Pliocene,5
103,surface_age,Holocene to Pliocene?,12
104,surface_age,Holocene to Upper Pleistocene,3
105,surface_age,Holocene to late Pleistocene,27
106,surface_age,Holocene to late Pleistocene?,7
107,surface_age,Holocene to middle Pleistocene,70
108,surface_age,Holocene to middle? Pleistocene,9
109,surface_age,Holocene to upper Pleistocene,15
110,surface_age,"Holocene, Pleistocene, and Pliocene?",26
111,surface_age,Holocene-Middle Pleistocene,4
112,surface_age,Holocene-Pleistocene,9
113,surface_age,Holocene/Pleistocene,616
114,surface_age,Holocene; 200-400 yr,1
115,surface_age,"Holocene; 750-1,500 yr",1
116,surface_age,Holocene?,6
117,surface_age,Jurassic,14
118,surface_age,Jurassic - Cretaceous,1
119,surface_age,Jurassic - Miocene,3
120,surface_age,Jurassic / Triassic,1
121,surface_age,Jurassic? and Triassic?,3
122,surface_age,Kasimovian,7
123,surface_age,Kungurian - Roadian,42
124,surface_age,Langhian - Piacenzian,1
125,surface_age,Late Cretaceous,5393
126,surface_age,Late Cretaceous - Early Oligocene,3
127,surface_age,Late Cretaceous - Eocene,3
128,surface_age,Late Cretaceous - Paleocene,316
129,surface_age,Late Devonian,19
130,surface_age,Late Devonian - Early Mississippian,3
131,surface_age,Late Devonian - Mississippian,18
132,surface_age,Late Eocene - Oligocene,2
133,surface_age,Late Jurassic,549
134,surface_age,Late Jurassic - Early Cretaceous,52
135,surface_age,Late Miocene,30
136,surface_age,Late Miocene - Pliocene,21
137,surface_age,Late Mississippian - Pennsylvanian,2
138,surface_age,Late Oligocene - Early Miocene,1
139,surface_age,Late Pennsylvanian,2
140,surface_age,Late Pennsylvanian - Asselian,8
141,surface_age,Late Pennsylvanian - Cisuralian,49
142,surface_age,Late Pleistocene,6
143,surface_age,Late Pleistocene - Holocene,30
144,surface_age,Late Pleistocene-Holocene,3
145,surface_age,Late Pliocene,3
146,surface_age,Late Pliocene - Pleistocene,4
147,surface_age,Late Proterozoic-Middle Proterozoic,1
148,surface_age,Late Triassic,19
149,surface_age,Late Triassic - Early Jurassic,19
150,surface_age,Late Triassic - Late Jurassic,7
151,surface_age,Lockhovian - Givetian,17
152,surface_age,Lopingian - Early Triassic,1
153,surface_age,Lower Cretaceous,99
154,surface_age,Lower Cretaceous - Albian,19
155,surface_age,Lower Cretaceous and Jurassic,16
156,surface_age,Lower Cretaceous and Upper Jurassic,13
157,surface_age,"Lower Cretaceous, Albian",1
158,surface_age,"Lower Cretaceous, Albian to Valanginian",2
159,surface_age,Lower Eocene,124
160,surface_age,Lower Jurassic,72
161,surface_age,Lower Jurassic and Upper Triassic,1
162,surface_age,Lower Jurassic and Upper Triassic (?),3
163,surface_age,Lower Miocene,17
164,surface_age,Lower Miocene and Upper Oligocene,22
165,surface_age,Lower Permian,75
166,surface_age,"Lower Permian, Leonardian",1
167,surface_age,"Lower Permian, Leonardian to Wolfcampanian",1
168,surface_age,"Lower Permian, Wolfcampanian",1
169,surface_age,Lower Permian-Upper Pennsylvanian,1
170,surface_age,Lower Permian/Pennsylvanian,1
171,surface_age,Lower Proterozoic to Upper Archean,2
172,surface_age,Lower Triassic,14
173,surface_age,Lower and Upper Cretaceous,30
174,surface_age,Lutetian,5
175,surface_age,Maastrichtian,8
176,surface_age,Maastrichtian - Bartonian,18
177,surface_age,Maastrichtian - Danian,3
178,surface_age,Maastrichtian - Selandian,1
179,surface_age,Mesoproterozoic,12
180,surface_age,Messinian - Holocene,160
181,surface_age,Messinian - Middle Pleistocene,8
182,surface_age,Messinian - Piacenzian,1
183,surface_age,Middle (?) to Lower Triassic,2
184,surface_age,Middle Cambrian - Late Ordovician,25
185,surface_age,Middle Devonian,8
186,surface_age,Middle Eocene,1
187,surface_age,Middle Eocene - Early Oligocene,2
188,surface_age,Middle Eocene - Holocene,2
189,surface_age,Middle Jurassic,61
190,surface_age,Middle Jurassic - Early Cretaceous,26
191,surface_age,Middle Jurassic - Late Jurassic,115
192,surface_age,Middle Jurrasic to Lower Cretaceous,1
193,surface_age,Middle Miocene - Early Pliocene,10
194,surface_age,Middle Miocene - Late Miocene,7
195,surface_age,Middle Ordovician - Mississippian,1
196,surface_age,Middle Pleistocene,3
197,surface_age,Middle Pleistocene - Holocene,11
198,surface_age,Middle Pleistocene - Late Pleistocene,462
199,surface_age,Middle Pleistocene - Pleistocene,2
200,surface_age,Middle Pleistocene-Late Pleistocene,1
201,surface_age,Middle Proterozoic,36
202,surface_age,Middle Triassic - Late Triassic,8
203,surface_age,Middle Triassic - Middle Jurassic,1
204,surface_age,Middle Triassic - Norian,1
205,surface_age,Middle and Lower Pennsylvanian and Upper Mississippian,1
206,surface_age,Middle and Lower Triassic,1
207,surface_age,Middle and lower Holocene,2
208,surface_age,Middle to Upper Jurassic,3
209,surface_age,Middle(?) and Lower Triassic,1
210,surface_age,Middle-Late Eocene,8
211,surface_age,Miocene,2794
212,surface_age,Miocene - Pleistocene,13
213,surface_age,Miocene - Pliocene,1395
214,surface_age,Miocene and Oligocene,14
215,surface_age,Miocene and Pliocene,1
216,surface_age,Miocene and/or Pliocene,1
217,surface_age,"Miocene, Oligocene",2
218,surface_age,"Miocene, lower to middle",1
219,surface_age,Miocene-Oligocene,16
220,surface_age,Miocene/late Oligocene (?),37
221,surface_age,Miocene? and upper Oligocene?,24
222,surface_age,Mississippian,16
223,surface_age,Mississippian - Permian,18
224,surface_age,Mississippian-Cambrian,1
225,surface_age,Moscovian - Kungurian,5
226,surface_age,Mostly Holocene,3
227,surface_age,Neoarchean,7
228,surface_age,Neogene - Quaternary,2
229,surface_age,Neogene-Quaternary,6
230,surface_age,Norian - Toarcian,36
231,surface_age,Oligocene,1081
232,surface_age,Oligocene - Miocene,5
233,surface_age,Oligocene - Pliocene,12
234,surface_age,Oligocene and Eocene,52
235,surface_age,Oligocene and Eocene?,4
236,surface_age,Oligocene and upper Eocene,118
237,surface_age,"Oligocene, Eocene, and Paleocene",49
238,surface_age,Oligocene-Eocene,3
239,surface_age,Oligocene-Upper Eocene,1
240,surface_age,Oligocene/Miocene,1
241,surface_age,Oligocene?,1
242,surface_age,Ordovician,1
243,surface_age,Ordovician-Cambrian,16
244,surface_age,Oxfordian,4
245,surface_age,Oxfordian - Campanian,1
246,surface_age,Oxfordian - Late Jurassic,1
247,surface_age,Oxfordian - Tithonian,54
248,surface_age,Paleocene,9904
249,surface_age,Paleocene - Eocene,1092
250,surface_age,Paleocene - Selandian,1
251,surface_age,Paleocene To Upper Cretaceous,1
252,surface_age,Paleocene and Upper Cretaceous,93
253,surface_age,Paleocene to Upper Cretaceous,19
254,surface_age,Paleocene(?) and Upper Cretaceous,6
255,surface_age,Paleoproterozoic,33
256,surface_age,Pennsylvanian,155
257,surface_age,Pennsylvanian - Carboniferous,1
258,surface_age,Pennsylvanian - Cisuralian,4
259,surface_age,Pennsylvanian - Permian,25
260,surface_age,Pennsylvanian and Mississippian,1
261,surface_age,"Pennsylvanian, Virgilian-Missourian",1
262,surface_age,Pennsylvanian-Mississippian,1
263,surface_age,Permian,210
264,surface_age,Permian - Early Triassic,6
265,surface_age,Permian - Late Triassic,10
266,surface_age,Permian and Pennsylvanian,3
267,surface_age,Permian-Devonian,1
268,surface_age,Piacenzian - Late Pleistocene,2
269,surface_age,Piacenzian - Middle Pleistocene,15
270,surface_age,"Pinedale Glaciation, Pleistocene",49
271,surface_age,Pleistocene,338
272,surface_age,Pleistocene - Holocene,1905
273,surface_age,Pleistocene and Pliocene?,1
274,surface_age,Pleistocene or Pliocene,11
275,surface_age,Pleistocene-Pliocene,2
276,surface_age,Pleistocene/Pliocene?,4
277,surface_age,Pleistocene?,3
278,surface_age,Pliocene,29
279,surface_age,Pliocene (5.3 - 2.6 Ma),1
280,surface_age,Pliocene (?) and Pleistocene,3
281,surface_age,Pliocene - Holocene,45
282,surface_age,Pliocene - Pleistocene,67
283,surface_age,Pliocene to Miocene,1
284,surface_age,Pliocene-Miocene,2
285,surface_age,Pliocene-Quaternary,5
286,surface_age,Pliocene? and Eocene,5
287,surface_age,Precambrian,2
288,surface_age,Priabonian - Chattian,2
289,surface_age,Priabonian - Rupelian,128
290,surface_age,Quaternary,4599
291,surface_age,Quaternary and uppermost Tertiary,2
292,surface_age,Quaternary and/or Tertiary,1
293,surface_age,"Quaternary, Pleistocene, and uppermost Tertiary",2
294,surface_age,Quaternary-Tertiary,15
295,surface_age,Recent,1
296,surface_age,Rupelian - Chattian,445
297,surface_age,Rupelian - Messinian,2
298,surface_age,Rupelian - Tortonian,1
299,surface_age,"Sangamon Interglaciation Or Illinoian Glaciation, Pleistocene",4
300,surface_age,Santonian,51
301,surface_age,Santonian - Campanian,766
302,surface_age,Selandian - Thanetian,77
303,surface_age,Serpukhovian,6
304,surface_age,Serpukhovian - Bashkirian,2
305,surface_age,Tertiary,567
306,surface_age,Tertiary - Quaternary,7
307,surface_age,Tertiary Paleogene,2
308,surface_age,"Tertiary, Miocene to Eocene?",1
309,surface_age,"Tertiary, Miocene to Paleocene",2
